customer_id,first_name,last_name,email,phone,age,gender,country,city,signup_date,signup_source,segment,is_subscribed,total_orders,total_spent,avg_order_value,last_order_date
10001,Isaac,Bakshi,isaac.b@gmail.com,4332181960,42,M,India,Tiruchirappalli,2023-05-17,Organic,Churned,True,0,0.0,0,
10002,Danielle,Johnson,danielle30@yahoo.com,1-133-218-1960,53,F,Canada,East Jessetown,2022-02-24,Organic,Active,False,0,0.0,0,
10003,Felicitas,Dowerg,felicitas_dowerg@yahoo.com,+49(0)4332181960,29,M,Germany,Bremervörde,2023-11-28,Paid Search,New,True,0,0.0,0,
10004,Tejas,Kaul,tejas_kaul@outlook.com,9083863794,29,M,India,Kozhikode,2022-09-13,Organic,Active,True,0,0.0,0,
10005,Pahal,Oak,pahaloak@gmail.com,02351161559,35,F,India,Varanasi,2023-08-16,Organic,VIP,True,3,12252.81,4084.27,2023-12-30
10006,Tripti,Yadav,tripti.y@outlook.com,+916184959310,18,F,India,Ramagundam,2022-05-27,Email,New,False,0,0.0,0,
10007,Fariq,Kaul,fariq.k@hotmail.com,+916475255341,27,M,India,Deoghar,2022-04-25,Paid Search,New,True,0,0.0,0,
10008,Danielle,Johnson,danielle_johnson@outlook.com,(03) 3218 1960,57,F,Australia,East Jefferyhaven,2024-03-21,Organic,Active,True,3,79535.71,26511.9,2024-05-17
10009,Danielle,Johnson,danielle_johnson@email.com,533-521-8196x001,43,M,USA,New Jamesside,2024-01-12,Organic,New,True,0,0.0,0,
10010,Yash,Gade,yash.gade@email.com,06483503056,37,M,India,Amritsar,2024-02-28,Referral,Active,True,0,0.0,0,
10011,Siddharth,Murty,siddharth.m@hotmail.com,+917672423884,38,M,India,Ballia,2023-11-28,Email,Active,False,0,0.0,0,
10012,Mohini,Pathak,mohini.pathak@yahoo.com,+912871012269,30,F,India,Kharagpur,2023-09-04,Social,New,False,1,4088.23,4088.23,2023-11-13
10013,Ruth,Griffiths,ruth.g@gmail.com,+44(0)1632 960 433,24,F,UK,Lake Timothy,2024-09-27,Social,New,True,0,0.0,0,
10014,Lakshmi,Sidhu,lakshmi_sidhu@gmail.com,4801845146,31,M,India,Malda,2022-05-22,Social,Active,True,0,0.0,0,
10015,Anna,Baldwin,annabaldwin@hotmail.com,(663) 794-0265 x423,39,F,Canada,North Noahstad,2023-02-16,Paid Search,Active,False,0,0.0,0,
10016,Aarush,Lall,not-valid-email,2814893252,27,M,India,Khora ,2023-04-17,Organic,Active,True,24,189454.12,7893.92,2023-05-13
10017,Ekiya,Suresh,ekiya.s@hotmail.com,+911543039117,36,F,India,Katihar,2024-09-21,Organic,Active,True,3,11033.47,3677.82,2024-10-13
10018,Sian,Cox,sian.cox@yahoo.com,+44191 4960196,18,M,UK,North Colinborough,2024-06-01,Organic,New,True,0,0.0,0,
10019,Carolyn,Hoffman,carolynhoffman@outlook.com,+61-486-379-402,45,F,Australia,Petersonberg,2023-01-28,Organic,At Risk,False,0,0.0,0,
10020,Robert,Cole,robert.cole@hotmail.com,302-765-4235x116,38,F,USA,Cassandraton,2022-01-31,Organic,At Risk,True,0,0.0,0,
10021,Jeremiah,Dave,jeremiah_dave@gmail.com,7824896383,38,M,India,Silchar,2022-01-05,Paid Search,Active,True,0,0.0,0,
10022,Kashvi,Sarma,kashvi_sarma@hotmail.com,7133150983,38,M,India,Chennai,2022-11-14,Email,New,True,0,0.0,0,
10023,Jessica,Herrera,jessica65@email.com,(518)349-5931x0341,38,Other,USA,Ramirezstad,2022-11-19,Organic,VIP,True,0,0.0,0,
10024,Ekavir,Bhargava,ekavir32@hotmail.com,+911051834738,34,M,India,Aurangabad,2022-03-23,Social,Active,True,0,0.0,0,
10025,Urvashi,Kibe,urvashi_kibe@yahoo.com,06311656670,32,M,India,Ghaziabad,2022-09-26,Paid Search,Active,False,4,19056.74,4764.18,2023-12-30
10026,Neha,Nori,neha10@gmail.com,+913338726247,38,F,India,Aurangabad,2023-03-13,Organic,VIP,False,0,0.0,0,
10027,Saanvi,Chaudhari,saanvi.c@hotmail.com,+918013267736,42,M,India,Dehradun,2022-01-17,Referral,Active,True,1,2781.09,2781.09,2022-11-13
10028,Ladli,Agate,ladli.a@hotmail.com,04746872343,61,F,India,Adoni,2023-08-01,Social,New,True,0,0.0,0,
10029,Francisco,Kelly,francisco_kelly@gmail.com,+1-241-592-8327x64835,22,F,USA,Port Leslieview,2023-07-21,Paid Search,New,False,0,0.0,0,
10030,Darsh,Murthy,darsh.murthy@hotmail.com,+910978820812,40,M,India,Hindupur,2022-06-04,Email,Active,False,0,0.0,0,
10031,Ekansh,Keer,ekansh.k@gmail.com,01939909169,37,F,India,Bhilwara,2022-03-23,Organic,VIP,True,3,6398.28,2132.76,2023-05-11
10032,Melanie,Munoz,melaniemunoz@hotmail.com,478-161-8495,50,F,Canada,North Donnaport,2023-04-30,Organic,At Risk,True,0,0.0,0,
10033,Donald,Lowe,donaldlowe@email.com,+44113 496 0838,38,F,UK,Quinnshire,2023-07-01,Organic,At Risk,True,0,0.0,0,
