full_name,email_address,age,gender,phone_number,location,country,date_joined,lead_source,utm_campaign,utm_medium,notes,is_subscribed
  Isaac Bakshi  ,isaac.b@gmail.com,42,M,4332181960, Tiruchirappalli ,India,2023-05-17,webinar_signup,camp_113,social,do not contact,True
  Danielle Johnson  ,danielle30@yahoo.com,53,F,1-133-218-1960, East Jessetown ,Canada,2022-02-24,facebook_lead,,organic,follow up,False
  Felicitas Dowerg  ,felicitas_dowerg@yahoo.com,29,M,+49(0)4332181960,Bremervörde,Germany,2023-11-28,facebook_lead,camp_790,email,,True
  Tejas Kaul  ,tejas_kaul@outlook.com,29,M,, Kozhikode ,India,2022-09-13,facebook_lead,,email,,True
  Pahal Oak  ,pahaloak@gmail.com,35,F,02351161559,Varanasi,India,2023-08-16,partner_import,,cpc,,True
  Tripti Yadav  ,tripti.y@outlook.com,18,F,+916184959310, Ramagundam ,India,2022-05-27,facebook_lead,,email,follow up,False
  Fariq Kaul  ,fariq.k@hotmail.com,27,M,+916475255341,Deoghar,India,2022-04-25,email_capture,camp_704,organic,,True
  Danielle Johnson  ,danielle_johnson@outlook.com,,F,(03) 3218 1960, East Jefferyhaven ,Australia,2024-03-21,webinar_signup,camp_576,cpc,do not contact,True
,danielle_johnson@email.com,43,M,, New Jamesside ,USA,2024-01-12,partner_import,camp_414,cpc,VIP,True
  Yash Gade  ,yash.gade@email.com,37,M,06483503056, Amritsar ,India,2024-02-28,facebook_lead,camp_774,organic,,True
  Siddharth Murty  ,siddharth.m@hotmail.com,38,M,+917672423884, Ballia ,India,2023-11-28,partner_import,camp_862,organic,,False
  Mohini Pathak  ,mohini.pathak@yahoo.com,30,F,+912871012269, Kharagpur ,India,2023-09-04,google_form,,social,follow up,False
  Ruth Griffiths  ,,24,F,+44(0)1632 960 433, Lake Timothy ,UK,2024-09-27,google_form,,organic,,True
  Lakshmi Sidhu  ,lakshmi_sidhu@gmail.com,31,M,4801845146, Malda ,India,2022-05-22,partner_import,camp_632,email,do not contact,True
  Anna Baldwin  ,annabaldwin@hotmail.com,39,F,(663) 794-0265 x423, North Noahstad ,Canada,2023-02-16,facebook_lead,camp_630,organic,do not contact,False
  Aarush Lall  ,,27,M,2814893252, Khora  ,India,2023-04-17,webinar_signup,camp_818,,do not contact,True
  Ekiya Suresh  ,ekiya.s@hotmail.com,36,F,+911543039117, Katihar ,India,2024-09-21,email_capture,,email,,True
  Sian Cox  ,sian.cox@yahoo.com,18,M,+44191 4960196,North Colinborough,UK,2024-06-01,partner_import,,,VIP,True
  Carolyn Hoffman  ,carolynhoffman@outlook.com,,F,+61-486-379-402, Petersonberg ,Australia,2023-01-28,webinar_signup,camp_380,cpc,do not contact,False
  Robert Cole  ,robert.cole@hotmail.com,38,F,302-765-4235x116,Cassandraton,USA,2022-01-31,webinar_signup,,organic,follow up,True
  Jeremiah Dave  ,jeremiah_dave@gmail.com,38,M,7824896383, Silchar ,India,2022-01-05,partner_import,camp_543,,,True
  Kashvi Sarma  ,kashvi_sarma@hotmail.com,,M,7133150983, Chennai ,India,2022-11-14,google_form,,,follow up,True
  Jessica Herrera  ,jessica65@email.com,38,Other,(518)349-5931x0341, Ramirezstad ,USA,2022-11-19,facebook_lead,camp_402,organic,,True
  Ekavir Bhargava  ,,34,M,+911051834738, Aurangabad ,India,2022-03-23,facebook_lead,,cpc,follow up,True
  Urvashi Kibe  ,urvashi_kibe@yahoo.com,32,M,06311656670,Ghaziabad,India,2022-09-26,webinar_signup,camp_130,organic,,False
  Neha Nori  ,neha10@gmail.com,38,F,+913338726247, Aurangabad ,India,2023-03-13,facebook_lead,camp_587,cpc,,False
  Saanvi Chaudhari  ,saanvi.c@hotmail.com,42,M,+918013267736, Dehradun ,India,2022-01-17,google_form,camp_413,email,,True
